公共数据,187
管理,96
机构,73
数据,68
服务,59
公共,56
主管部门,55
共享,47
开放,32
部门,32
相关,28
提供,25
采集,25
负责,24
依法,22
目录,21
人民政府,20
组织,16
电子,16
资源,15
政务,15
法律,15
单位,15
国家,15
法规,13
规章,13
登记,13
建立,12
条件,12
制定,12
评估,12
主体,12
数源,12
本级,12
数据中心,11
编制,11
工作,11
办法,10
证照,10
保障,10
地级,10
社会,9
法定,9
汇聚,9
分类,9
商业秘密,8
核准,8
项目,8
县级,8
个人信息,8
分级,8
开发利用,8
机制,8
事业单位,8
机关,8
数据共享,7
提出,7
过程,7
会同,7
定期,7
统一,7
更新,7
责任,7
另有,6
本省,6
解决,6
隐私,6
涉及,6
法律法规,6
类型,6
管理工作,6
活动,6
方式,5
损害,5
公共服务,5
政府,5
印章,5
需求,5
有权,5
广东省,5
规范,5
实施,5
档案,5
不予,5
企业,5
职责,5
做好,4
风险,4
开放平台,4
监督管理,4
基础,4
工作日内,4
利用,4
产品,4
交易平台,4
交易,4
法律效力,4
乡镇,4
职权,4
履行职责,4
协调,4
履行,4
符合,4
法人,4
授权,4
申请,4
规则,4
协商,4
年度,4
非法人,4
合法权益,4
突发事件,4
保护,4
审定,4
承担,4
保密,4
通信,4
2021,4
清单,4
发生,4
建设,4
同等,4
同级,4
系统,4
民政部门,3
同意,3
无条件,3
给予,3
提供数据,3
第二十三条,3
合法,3
处分,3
行业,3
自然资源,3
自然人,3
团体,3
审批,3
卫生,3
审查,3
纸质,3
提升,3
街道,3
统筹,3
对本,3
纳入,3
行政,3
获取,3
网信,3
第三方,3
模式,3
本行政区域,3
法律责任,3
程序,3
空间,3
社会保障,3
数据安全,3
确保,3
构成犯罪,3
业务,3
改正,3
公安机关,3
教育,3
公安,3
形式,3
归档,3
非法,3
违反,3
健康,3
信息,3
依法追究,3
应对,3
责任人员,3
重点,3
主管人员,3
办事处,3
数据库,3
请求,3
工作人员,3
情节严重,3
刑事责任,3
监督,3
电子签名,3
由省,3
市场主体,3
流动人口,3
责令,3
情况,3
予以,3
意见,2
日起,2
必要措施,2
指南,2
机构编制,2
日常,2
技术标准,2
管理机构,2
11,2
权益,2
居住,2
执行,2
